Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Caruru,Condimentos e especiarias,100,33.00,5.97,3.20,0.58,4.47,0.00,0.10,0.00,0.30,0.07,0.09,0.00,455.00,197.00,0.89,77.30,4.46,13.70,278.00,0.37,6.03,1.34,969.00,0.00,0.10,0.00,-,0.11,0.00,126.00,0.00,0.00,5.36
Coentro,Condimentos e especiarias,100,22.00,3.67,2.13,0.52,2.80,0.00,0.01,0.28,0.04,0.33,0.00,0.00,67.00,26.00,0.43,48.00,1.77,46.00,521.00,0.23,0.50,0.90,337.00,0.07,0.16,1.11,-,0.15,0.00,62.00,0.00,2.50,27.00
Cravo em pó,Condimentos e especiarias,100,335.00,65.50,5.97,13.00,33.90,0.00,3.95,1.39,3.61,-,-,0.25,632.00,259.00,60.10,104.00,11.80,277.00,1020.00,0.37,2.32,7.20,8.00,0.16,0.22,1.56,-,0.39,0.00,25.00,0.00,8.82,0.20
Curry em pó,Condimentos e especiarias,100,400.00,61.80,12.30,11.60,33.20,0.00,1.36,7.25,2.52,-,-,0.00,531.00,257.00,0.00,371.00,19.30,52.60,1183.00,0.00,4.75,0.00,0.83,0.18,0.20,3.30,-,0.11,0.00,56.70,0.00,20.80,0.71
Hortelã,Condimentos e especiarias,100,39.00,8.40,3.29,0.73,6.80,0.00,0.19,0.03,0.39,0.00,0.00,0.00,199.00,63.00,1.12,60.00,11.90,30.00,458.00,0.24,1.09,0.00,203.00,0.08,0.18,0.95,-,0.16,0.00,105.00,0.00,0.00,13.30
Noz moscada em pó,Condimentos e especiarias,100,505.00,49.30,5.84,36.30,20.80,0.00,25.90,3.22,0.35,38.09,9.08,0.00,184.00,183.00,2.90,213.00,3.04,16.00,350.00,1.03,2.15,1.60,5.00,0.35,0.06,1.30,-,0.16,0.00,76.00,0.00,0.00,3.00
Orégano,Condimentos e especiarias,100,265.00,68.90,9.00,4.28,42.50,0.00,1.55,0.72,1.37,1.05,4.18,0.00,1597.00,270.00,4900.00,148.00,36.80,25.00,1260.00,0.63,2.69,4.50,85.00,0.18,0.53,4.64,-,1.04,0.00,237.00,0.00,18.30,2.30
Páprica,Condimentos e especiarias,100,318.00,54.00,14.10,12.90,34.90,0.00,2.14,1.70,7.77,-,-,0.00,229.00,178.00,1.59,314.00,21.10,68.00,2280.00,0.71,4.33,0.71,2463.00,0.33,1.23,10.10,-,2.14,0.00,49.00,0.00,29.10,0.90
Pimenta branca,Condimentos e especiarias,100,306.00,74.50,10.40,2.12,26.20,0.00,0.63,0.79,0.62,0.97,0.16,0.00,265.00,90.00,4300.00,176.00,14.30,5.00,73.00,0.91,1.13,3.10,0.00,0.02,0.13,0.21,-,0.10,0.00,10.00,0.00,0.00,21.00
Pimenta jalapeno,Condimentos e especiarias,100,27.00,6.50,0.91,0.37,2.80,0.00,0.09,0.03,0.11,0.97,0.16,0.00,12.00,15.00,0.10,26.00,0.25,3.00,248.00,0.05,0.14,0.40,54.00,0.04,0.07,1.28,-,0.42,0.00,27.00,0.00,3.58,118.00
Pimenta preta,Condimentos e especiarias,100,297.00,69.40,10.40,3.26,25.30,0.00,1.33,0.74,1.00,0.97,0.16,0.00,443.00,171.00,12753.00,158.00,9.71,20.00,1329.00,1330.00,1.19,4.90,27.00,0.11,0.18,1.14,-,0.29,0.00,17.00,0.00,1.04,0.00
Pimenta vermelha,Condimentos e especiarias,100,375.00,56.60,12.00,17.30,27.20,0.00,3.26,2.75,8.37,0.97,0.16,0.00,148.00,152.00,2.00,293.00,7.80,30.00,2014.00,0.37,2.48,8.80,2081.00,0.33,0.92,8.70,-,2.45,0.00,106.00,0.00,29.80,76.40
Abóbora,Verduras e legumes,100,21.00,5.03,1.05,0.18,2.02,0.00,0.04,0.03,0.02,0.00,0.00,0.00,9.64,5.54,0.05,19.20,0.22,0.19,225.00,0.05,0.14,1.10,355.00,0.00,0.00,0.00,-,0.07,0.00,12.90,0.00,1.91,4.58
Abobrinha,Verduras e legumes,100,17.00,3.71,1.01,0.12,1.28,0.00,0.03,0.00,0.03,0.05,0.08,0.00,13.40,17.70,0.08,28.30,0.21,0.00,224.00,0.06,0.15,0.10,20.30,0.00,0.03,0.00,-,0.03,0.00,24.90,0.00,0.05,5.87
Acelga,Verduras e legumes,100,23.00,4.63,1.44,0.11,1.12,0.00,0.02,0.02,0.04,0.01,0.05,0.00,43.00,10.40,0.11,40.00,0.27,1.18,239.00,0.10,0.31,0.84,162.00,0.04,0.00,0.00,-,0.16,0.00,7.42,0.00,1.00,22.50
Agrião,Verduras e legumes,100,23.00,2.58,3.17,0.45,1.98,0.00,0.12,0.04,0.16,0.01,0.02,0.00,129.00,24.10,0.24,60.10,2.00,10.70,244.00,0.14,0.76,0.20,224.00,0.13,0.27,1.42,-,0.11,0.00,13.30,0.00,4.50,71.40
Aipo,Verduras e legumes,100,18.00,4.27,0.76,0.07,0.96,0.00,0.02,0.01,0.03,0.08,0.00,0.00,65.20,8.86,0.18,28.00,0.72,9.52,273.00,0.31,0.14,0.54,456.00,0.00,0.00,0.00,-,0.18,0.00,48.60,0.00,0.11,5.88
Alcachofra,Verduras e legumes,100,51.00,11.90,2.89,0.34,5.70,0.00,0.08,0.01,0.14,-,-,0.00,21.00,42.00,0.00,73.00,0.61,60.00,286.00,0.00,60.00,0.00,0.00,0.05,0.09,1.11,-,0.08,0.00,89.00,0.00,0.19,7.40
Alface,Verduras e legumes,100,8.00,1.79,1.08,0.12,1.87,0.00,0.20,0.00,0.08,0.02,0.06,0.00,37.50,12.70,0.36,26.00,0.75,4.20,311.00,0.03,0.29,0.20,182.00,0.10,0.10,0.92,-,0.04,0.00,26.90,0.00,0.18,18.50
Alfavaca,Verduras e legumes,100,27.00,5.24,2.66,0.48,4.14,0.00,0.16,0.00,0.32,-,-,0.00,258.00,84.20,0.15,49.70,1.26,4.55,260.00,0.15,0.71,0.37,518.00,0.00,0.12,0.00,-,0.56,0.00,83.90,0.00,0.60,0.00
Alho,Verduras e legumes,100,121.00,25.80,5.70,0.20,3.19,0.00,0.04,0.00,0.10,0.23,0.18,0.00,13.70,21.50,0.24,150.00,0.81,5.43,541.00,0.15,0.83,2.24,0.00,0.19,0.00,0.00,-,0.45,0.00,2.38,0.00,0.98,24.80
Alho-poró,Verduras e legumes,100,29.00,6.88,1.41,0.14,2.51,0.00,0.02,0.00,0.08,1.40,0.25,0.00,33.60,10.70,0.10,36.50,0.64,1.76,224.00,0.24,0.29,0.53,8.08,0.06,0.00,0.34,-,0.08,0.00,34.10,0.00,0.43,14.10
Almeirão,Verduras e legumes,100,20.00,4.12,1.78,0.29,3.04,0.00,0.07,0.01,0.13,0.10,0.02,0.00,30.40,16.70,0.20,46.60,0.87,2.76,433.00,0.12,0.34,1.30,288.00,0.13,0.21,0.74,-,0.00,0.00,110.00,0.00,2.18,1.98
Aspargo,Verduras e legumes,100,24.00,4.11,2.40,0.22,2.00,0.00,0.05,0.00,0.10,0.27,0.02,0.00,23.00,14.00,0.00,54.00,0.91,14.00,224.00,0.00,0.60,0.00,50.00,0.16,0.14,1.08,-,0.08,0.00,149.00,0.00,1.50,7.70
Batata doce (cozida),Verduras e legumes,100,91.00,23.10,0.85,0.18,2.74,0.00,0.04,0.00,0.08,0.06,0.00,0.00,21.50,14.00,0.17,19.30,0.23,3.39,186.00,0.08,0.15,0.20,702.00,0.10,0.00,3.23,-,0.06,0.00,7.42,0.00,1.18,29.90
Batata inglesa (frita),Verduras e legumes,100,254.00,33.50,4.43,12.70,5.99,0.00,2.04,3.30,6.40,6.92,0.93,0.00,6.01,13.30,0.14,65.50,0.42,189.00,459.00,0.10,0.35,0.81,0.00,0.16,0.00,2.36,-,0.10,0.00,5.64,0.00,0.00,15.40
Batata baroa (mandioquinha),Verduras e legumes,100,77.00,18.90,0.85,0.17,1.76,0.00,0.04,0.04,0.03,0.06,0.01,0.00,11.90,7.58,0.22,29.50,0.42,2.10,258.00,0.15,0.38,0.32,5.34,0.06,0.00,1.98,-,0.00,0.00,6.94,0.00,0.11,17.10
Berinjela,Verduras e legumes,100,18.00,4.57,1.01,0.13,2.69,0.00,0.02,0.01,0.05,0.08,0.02,0.00,12.40,15.30,0.10,20.10,0.24,0.00,201.00,0.06,0.12,0.10,12.10,0.04,0.05,0.00,-,0.00,0.00,17.40,0.00,0.22,3.01
Beterraba (cozida),Verduras e legumes,100,26.00,6.20,0.79,0.24,1.91,0.00,0.05,0.02,0.10,0.06,0.01,0.00,14.40,11.70,0.15,20.00,0.29,1.77,140.00,0.06,0.18,0.11,13.30,0.05,0.00,0.00,-,0.00,0.00,10.10,0.00,0.42,0.00
Beterraba,Verduras e legumes,100,46.00,11.10,1.95,0.09,3.37,0.00,0.01,0.02,0.03,0.06,0.01,0.00,14.40,21.70,1.23,19.40,0.32,9.72,375.00,0.08,0.52,0.20,0.88,0.04,0.00,0.00,-,0.04,0.00,122.00,0.00,0.02,3.12
Brócolis,Verduras e legumes,100,36.00,4.99,4.14,0.72,3.04,0.00,0.08,0.02,0.07,0.05,0.12,0.00,108.00,37.40,0.33,99.20,0.77,4.21,322.00,0.08,0.60,0.50,213.00,0.15,0.23,1.76,-,0.10,0.00,65.40,0.00,1.52,43.30
Cará,Verduras e legumes,100,77.00,18.90,1.53,0.11,2.63,0.00,0.03,0.01,0.07,0.04,0.01,0.00,5.17,14.80,0.02,27.80,0.31,1.01,203.00,0.11,0.24,0.49,6.84,0.12,0.00,0.00,-,0.12,0.00,11.30,0.00,0.38,0.00
Catalonha,Verduras e legumes,100,24.00,4.75,1.87,0.28,2.05,0.00,0.10,0.00,0.10,1.35,0.18,0.00,56.80,17.30,0.34,32.00,3.08,9.39,411.00,0.27,0.48,0.28,269.00,0.00,0.03,1.54,-,0.36,0.00,113.00,0.00,2.13,7.33
Cebola,Verduras e legumes,100,40.00,9.21,1.76,0.13,2.04,0.00,0.05,0.02,0.02,0.07,0.00,0.00,14.10,11.90,0.14,39.60,0.21,0.62,184.00,0.05,0.17,0.05,0.00,0.04,0.00,0.00,-,0.13,0.00,14.20,0.00,0.03,4.14
Cebolinha,Verduras e legumes,100,9.00,1.60,0.89,0.15,0.68,0.00,0.03,0.02,0.06,0.04,0.00,0.00,93.30,23.00,0.13,26.90,0.65,1.61,206.00,0.04,0.27,0.10,105.00,0.03,0.04,0.00,-,0.08,0.00,27.30,0.00,0.44,17.50
Cenoura,Verduras e legumes,100,16.00,4.31,0.54,0.19,2.18,0.00,0.00,0.00,0.09,0.09,0.00,0.00,16.70,9.42,0.03,17.40,0.17,5.13,232.00,0.01,0.15,0.30,330.00,0.05,0.00,1.75,-,0.04,0.00,7.73,0.00,1.11,0.00
Cenoura (cozida),Verduras e legumes,100,30.00,7.55,1.12,0.21,2.98,0.00,0.03,0.01,0.10,0.09,0.00,0.00,21.40,11.40,0.06,26.90,0.47,11.10,278.00,0.07,0.30,0.60,370.00,0.00,0.00,0.00,-,0.05,0.00,15.90,0.00,0.58,5.12
Champignon,Verduras e legumes,100,27.00,4.82,1.87,0.40,1.60,0.00,0.06,0.00,0.19,1.60,0.20,0.00,1.60,7.92,0.11,99.40,0.10,0.98,365.00,0.03,0.54,9.85,0.00,0.57,0.87,18.00,-,0.06,0.04,18.00,0.24,0.01,2.23
Chicória,Verduras e legumes,100,12.00,2.85,1.17,0.15,2.27,0.00,0.04,0.00,0.06,1.86,0.34,0.00,46.40,9.62,0.20,12.40,0.37,12.60,273.00,0.05,0.13,0.15,72.00,0.02,0.07,0.46,-,0.00,0.00,57.30,0.00,0.32,2.70
Chuchu,Verduras e legumes,100,17.00,4.17,0.89,0.05,1.40,0.00,0.01,0.00,0.03,0.00,0.00,0.00,11.00,8.06,0.08,18.40,0.18,0.00,130.00,0.03,0.15,0.30,0.00,0.00,0.00,0.00,-,0.00,0.00,87.20,0.00,0.05,11.00
Cogumelo Shiimeji,Verduras e legumes,100,31.00,6.63,2.55,0.35,4.22,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.74,13.20,0.08,108.00,0.96,0.57,315.00,0.18,0.87,0.00,0.00,0.48,0.41,31.90,-,0.24,0.00,0.00,0.00,0.00,0.00
Cogumelo Shiitake,Verduras e legumes,100,25.00,5.48,1.76,0.32,3.32,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.44,7.94,0.12,63.30,0.75,1.00,96.40,0.03,0.54,4.50,0.00,0.43,0.33,20.60,-,0.23,0.00,10.30,0.26,0.00,0.00
Couve de bruxelas,Verduras e legumes,100,37.00,7.10,2.55,0.50,2.60,0.00,0.01,0.04,0.26,-,-,0.00,36.00,20.00,0.23,56.00,1.20,21.00,317.00,0.08,0.33,1.50,39.00,0.11,0.08,0.61,-,0.18,0.00,60.00,0.00,0.43,62.00
Couve,Verduras e legumes,100,25.00,4.01,2.66,0.51,2.89,0.00,0.11,0.00,0.12,0.07,0.09,0.00,236.00,41.40,0.29,40.60,0.56,10.70,582.00,0.04,0.21,0.24,233.00,0.12,0.19,1.38,-,0.04,0.00,12.50,0.00,1.08,35.80
Couve-flor,Verduras e legumes,100,16.00,3.41,1.28,0.20,2.05,0.00,0.08,0.00,0.08,0.05,0.17,0.00,14.80,5.01,0.09,23.40,0.12,1.64,74.00,0.00,0.24,0.33,1.83,0.03,0.00,0.00,-,0.00,0.00,32.70,0.00,0.03,21.80
Dill,Verduras e legumes,100,47.00,7.02,3.46,1.12,2.10,0.00,0.06,0.80,0.10,-,-,0.00,208.00,55.00,1.26,66.00,6.59,61.00,738.00,0.15,0.91,0.00,386.00,0.06,0.30,1.57,-,0.19,0.00,150.00,0.00,0.00,85.00
Ervilha,Verduras e legumes,100,71.00,14.20,7.45,0.47,9.72,0.00,0.00,0.10,0.30,1.53,0.21,0.00,24.40,41.80,0.40,151.00,1.44,0.00,310.00,0.20,1.23,0.00,127.00,0.27,0.07,1.16,-,0.06,0.00,87.50,0.00,0.92,12.40
Escarola,Verduras e legumes,100,16.00,2.74,1.54,0.30,1.86,0.00,0.07,0.01,0.13,1.88,0.26,0.00,0.00,13.40,0.38,25.10,0.74,19.70,281.00,0.09,0.71,0.18,189.00,0.07,0.07,0.36,-,0.02,0.00,127.00,0.00,0.66,5.82
Espinafre,Verduras e legumes,100,19.00,3.47,1.84,0.26,1.90,0.00,0.04,0.01,0.11,0.02,0.09,0.00,66.70,33.30,0.66,23.80,0.28,13.30,174.00,0.07,0.18,0.07,109.00,0.07,0.14,0.00,-,0.04,0.00,102.00,0.00,2.08,1.01
Gengibre,Verduras e legumes,100,81.00,17.80,1.82,0.75,2.00,0.00,0.20,0.15,0.15,-,-,0.00,16.00,43.00,0.23,34.00,0.60,13.00,415.00,0.23,0.34,0.70,0.00,0.03,0.03,0.75,-,0.16,0.00,11.00,0.00,0.26,5.00
Inhame,Verduras e legumes,100,89.00,20.50,2.29,0.14,1.60,0.00,0.05,0.00,0.05,0.04,0.01,0.00,14.90,17.10,0.12,59.10,0.02,0.00,231.00,0.14,0.36,0.82,2.39,0.05,0.00,0.00,-,0.07,0.00,8.97,0.00,1.68,2.02
Jambu,Verduras e legumes,100,33.00,6.66,3.08,0.25,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Jiló,Verduras e legumes,100,27.00,7.43,1.68,0.26,5.79,0.00,0.05,0.03,0.13,0.05,0.00,0.00,22.80,14.90,0.15,31.30,0.30,0.00,127.00,0.11,0.13,0.18,7.38,0.05,0.03,0.00,-,0.00,0.00,14.30,0.00,0.44,5.30
Jurubeba,Verduras e legumes,100,100.00,23.10,4.41,3.91,23.90,0.00,0.50,0.50,2.10,2.09,0.03,0.00,151.00,65.30,0.52,155.00,0.95,0.77,619.00,1.16,0.63,0.00,0.00,0.13,0.02,0.00,-,0.20,0.00,0.00,0.00,0.00,13.80
Lingua de vaca,Verduras e legumes,100,9.00,0.88,0.94,0.21,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.00,1089.00,1447.00,12.80,332.00,12.00,60.00,525.00,1.14,11.90,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Macaxeira (Aipim),Verduras e legumes,100,120.00,29.80,0.64,0.24,1.77,0.00,0.08,0.08,0.08,0.05,0.01,0.00,18.50,26.60,0.06,22.30,0.07,0.90,99.70,0.01,0.17,0.49,5.09,0.06,0.00,0.00,-,0.03,0.00,10.40,0.00,0.16,11.00
Manjericão,Verduras e legumes,100,19.00,3.64,1.99,0.39,3.31,0.00,0.13,0.00,0.27,-,-,0.00,210.00,57.80,0.17,39.90,0.97,3.89,251.00,0.16,0.46,0.27,517.00,0.06,0.21,0.90,-,0.06,0.00,60.30,0.00,0.49,2.34
Maxixe,Verduras e legumes,100,20.00,4.29,2.00,0.10,3.15,0.00,0.04,0.00,0.03,0.09,0.00,0.02,41.90,6.56,0.09,32.30,0.51,19.80,94.20,0.03,0.14,0.10,3.11,0.05,0.02,0.00,-,0.04,0.00,4.03,0.00,0.07,8.99
Missoshiro,Verduras e legumes,100,31.00,2.90,2.40,1.27,0.87,0.00,0.17,0.20,0.58,-,-,0.00,22.70,11.40,0.07,37.50,0.50,315.00,74.00,0.05,0.38,0.07,37.10,0.01,0.02,0.16,-,0.04,0.01,6.21,0.00,0.08,0.63
Mostarda,Verduras e legumes,100,27.00,4.64,2.22,0.53,2.29,0.00,0.01,0.12,0.05,0.02,0.02,0.00,78.50,11.40,0.15,63.70,1.00,2.62,220.00,0.06,0.26,0.69,478.00,0.04,0.03,0.00,-,0.04,0.00,5.14,0.00,2.53,18.70
Nabo,Verduras e legumes,100,18.00,4.46,0.91,0.06,1.88,0.00,0.01,0.00,0.03,0.01,0.03,0.00,38.90,8.47,3.84,14.40,0.16,1.31,121.00,0.04,0.14,0.46,0.00,0.05,0.00,0.00,-,0.02,0.00,5.49,0.00,0.02,3.69
Nori,Verduras e legumes,100,229.00,39.10,34.80,0.70,36.40,30.00,0.10,0.04,0.26,-,-,0.00,86.00,340.00,1.58,530.00,48.30,2100.00,4500.00,0.39,2.30,0.00,2300.00,0.57,2.07,5.40,-,0.38,39.90,1500.00,0.00,4.20,3.00
Orelha de padre (mata fome),Verduras e legumes,100,315.00,60.40,23.20,1.51,16.20,0.00,0.43,0.11,0.62,-,-,0.00,43.20,417.00,2.80,357.00,5.91,20.00,1700.00,1.37,5.60,0.00,0.43,0.69,0.13,2.86,-,0.16,0.00,23.00,0.00,0.00,0.00
Pepino,Verduras e legumes,100,10.00,2.23,0.70,0.09,1.04,0.00,0.03,0.00,0.03,0.03,0.01,0.00,9.62,9.34,0.08,12.30,0.23,0.00,153.00,0.04,0.13,0.10,1.79,0.00,0.03,0.00,-,0.00,0.00,4.91,0.00,0.02,4.99
Pimentão amarelo,Verduras e legumes,100,26.00,5.63,1.21,0.30,1.80,0.00,0.03,0.00,0.07,0.05,0.01,0.00,9.03,10.20,0.08,21.00,0.39,0.00,207.00,0.04,0.14,0.20,13.90,0.04,0.03,0.00,-,0.06,0.00,24.90,0.00,1.60,189.00
Pimentão verde,Verduras e legumes,100,20.00,4.38,0.91,0.27,1.59,0.00,0.09,0.01,0.10,0.05,0.01,0.00,7.98,9.99,0.13,15.10,0.38,0.00,159.00,0.07,0.18,0.20,19.20,0.00,0.00,0.00,-,0.00,0.00,9.72,0.00,0.59,91.90
Pimentão vermelho,Verduras e legumes,100,24.00,5.47,1.04,0.15,1.59,0.00,0.01,0.00,0.03,0.05,0.01,0.00,6.37,11.10,0.06,20.00,0.33,0.00,210.00,0.05,0.19,0.20,34.20,0.05,0.06,0.00,-,0.02,0.00,41.90,0.00,0.77,158.00
Quiabo,Verduras e legumes,100,20.00,5.07,1.32,0.12,3.13,0.00,0.03,0.02,0.03,0.05,0.00,0.00,78.30,22.00,0.31,36.90,0.20,0.49,91.50,0.12,0.32,0.20,16.30,0.05,0.00,0.00,-,0.01,0.00,42.90,0.00,0.15,2.67
Rabanete,Verduras e legumes,100,13.00,3.00,1.13,0.08,1.81,0.00,0.02,0.01,0.04,0.02,0.03,0.00,19.60,5.34,0.06,22.40,0.26,6.02,146.00,0.02,0.14,0.09,0.23,0.04,0.01,0.00,-,0.03,0.00,13.00,0.00,0.00,3.84
Repolho branco,Verduras e legumes,100,22.00,4.05,1.54,0.34,1.28,0.00,0.00,0.11,0.13,0.01,0.01,0.00,37.10,6.72,0.15,14.90,0.11,2.48,103.00,0.05,0.13,0.00,55.70,0.00,0.02,0.00,-,0.04,0.00,24.80,0.00,0.79,8.75
Repolho roxo,Verduras e legumes,100,29.00,6.94,1.51,0.09,2.60,0.00,0.01,0.01,0.04,0.01,0.01,0.00,42.00,17.00,0.22,33.00,0.66,28.00,262.00,0.05,0.25,2.30,0.00,0.07,0.06,0.38,-,0.23,0.00,24.00,0.00,0.12,34.40
Rúcula,Verduras e legumes,100,17.00,2.72,2.48,0.12,2.43,0.00,0.02,0.01,0.06,0.13,0.17,0.00,107.00,23.90,0.27,31.40,1.02,6.71,298.00,0.07,0.31,0.23,282.00,0.05,0.00,0.44,-,0.00,0.00,75.80,0.00,0.08,57.80
Salsa,Verduras e legumes,100,42.00,7.61,3.39,0.56,3.17,0.00,0.07,0.00,0.18,-,-,0.00,213.00,24.90,2.23,58.80,3.79,2.74,846.00,0.24,1.58,0.63,279.00,0.11,0.17,0.82,-,0.50,0.00,116.00,0.00,0.53,33.90
Serralha,Verduras e legumes,100,31.00,5.19,2.81,0.78,3.69,0.00,0.10,0.10,0.31,0.02,0.09,0.00,125.00,18.60,0.22,45.60,1.00,15.20,139.00,0.20,1.05,0.58,571.00,0.00,0.08,0.00,-,0.05,0.00,45.00,0.00,2.12,0.63
Taioba,Verduras e legumes,100,41.00,6.84,3.25,1.20,5.05,0.00,0.26,0.13,0.52,0.07,0.09,0.00,110.00,20.10,0.68,53.90,1.62,0.99,164.00,0.17,0.54,0.40,496.00,0.00,0.08,0.00,-,0.07,0.00,53.60,0.00,3.26,8.14
Tomate,Verduras e legumes,100,17.00,3.82,1.04,0.17,1.60,0.00,0.02,0.03,0.07,0.08,0.00,0.00,6.94,10.00,0.06,21.80,0.30,3.13,191.00,0.07,0.15,0.20,50.60,0.09,0.02,0.00,-,0.04,0.00,15.10,0.00,0.46,15.50
