Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Ervilha (lata),Miscelâneas,100,93.00,19.20,5.67,0.39,4.75,0.00,0.10,0.10,0.21,0.13,0.03,0.00,20.90,23.00,0.29,72.60,1.56,383.00,145.00,0.17,1.09,1.80,4.58,0.09,0.04,0.00,-,0.00,0.00,46.70,0.00,0.19,6.33
Estrogonofe de carne,Miscelâneas,100,169.00,2.98,15.00,10.80,0.00,66.20,5.26,3.32,0.86,-,-,0.27,28.30,21.50,0.03,185.00,2.70,122.00,322.00,0.14,2.04,0.00,0.00,0.06,0.05,3.25,-,0.00,0.22,62.90,0.00,0.96,0.00
Estrogonofe de frango,Miscelâneas,100,152.00,2.59,17.60,7.96,0.00,80.00,3.69,2.24,1.01,-,-,0.20,26.00,24.80,0.03,195.00,1.52,99.50,307.00,0.12,0.58,0.00,0.00,0.07,0.04,3.37,-,0.03,0.00,0.00,0.00,0.00,0.00
Fermento biológico,Miscelâneas,100,103.00,7.70,17.00,1.52,4.17,0.00,0.19,0.84,0.00,-,-,0.00,18.00,38.40,0.20,418.00,2.62,39.60,576.00,0.29,11.00,0.00,0.00,0.30,0.36,0.00,-,0.00,0.01,711.00,0.00,0.00,0.00
Fermento químico,Miscelâneas,100,757.00,7.08,43.90,0.48,0.07,48.50,0.00,0.01,0.00,-,-,0.02,0.00,10052.00,10005.00,28.70,4291.00,8.09,6804.00,0.71,0.42,0.02,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Figo (lata),Miscelâneas,100,200.00,50.30,0.56,0.15,1.98,0.00,0.03,0.03,0.07,-,-,0.00,32.60,6.85,0.16,6.25,0.50,6.87,39.30,0.25,0.09,0.49,3.54,0.00,0.00,0.00,-,0.00,0.00,14.70,0.00,0.05,5.24
Gelatina de abacaxi,Miscelâneas,100,396.00,92.50,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.90,2.31,0.03,2.00,0.33,235.00,7.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,3.01,0.00,0.00,40.10
Gelatina de cereja,Miscelâneas,100,392.00,89.30,8.86,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,2.30,0.03,1.99,0.33,234.00,7.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.99,0.00,0.00,39.90
Gelatina de framboesa,Miscelâneas,100,394.00,90.50,7.80,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,2.30,0.03,1.98,0.33,234.00,7.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.99,0.00,0.00,39.90
Gelatina de limão,Miscelâneas,100,394.00,91.80,6.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,2.30,0.03,1.98,0.33,233.00,7.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.98,0.00,0.00,39.80
Gelatina de maracujá,Miscelâneas,100,392.00,89.30,8.86,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,2.30,0.03,1.99,0.33,234.00,7.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.99,0.00,0.00,39.90
Gelatina de morango,Miscelâneas,100,393.00,91.40,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,2.30,0.03,1.98,0.33,234.00,7.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.99,0.00,0.00,39.90
Gelatina de pêssego,Miscelâneas,100,392.00,88.20,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,2.30,0.03,1.98,0.33,233.00,7.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.98,0.00,0.00,39.80
Gelatina de tutti-fruti,Miscelâneas,100,396.00,89.00,9.60,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.90,2.31,0.03,1.99,0.33,235.00,7.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,3.00,0.00,0.00,40.00
Gelatina de uva,Miscelâneas,100,391.00,88.30,9.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.60,2.29,0.03,1.97,0.33,232.00,7.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.97,0.00,0.00,39.60
Geleia de abacaxi,Miscelâneas,100,275.00,68.50,0.26,0.25,1.08,0.00,0.06,0.01,0.05,0.00,0.00,0.00,6.90,5.92,0.00,5.92,0.19,29.60,53.20,0.00,0.03,0.00,0.00,0.00,0.03,0.04,-,0.02,0.00,1.97,0.00,0.00,0.89
Geleia de framboesa,Miscelâneas,100,282.00,70.30,0.50,0.45,2.37,0.00,0.11,0.02,0.09,0.00,0.00,0.00,7.13,6.11,0.00,6.11,0.19,30.50,55.00,0.00,0.03,0.00,0.00,0.00,0.03,0.04,-,0.02,0.00,2.04,0.00,0.00,0.92
Geleia de goiaba,Miscelâneas,100,257.00,65.70,0.31,0.27,4.21,0.00,0.07,0.01,0.05,0.00,0.00,0.00,6.64,5.69,0.00,5.69,0.18,28.40,51.20,0.00,0.03,0.00,0.00,0.00,0.02,0.03,-,0.02,0.00,1.90,0.00,0.00,0.85
Geleia de laranja,Miscelâneas,100,271.00,67.30,0.39,0.32,0.99,0.00,0.08,0.02,0.06,0.00,0.00,0.00,6.80,5.83,0.00,5.83,0.18,29.20,52.50,0.00,0.03,0.00,0.00,0.00,0.03,0.03,-,0.02,0.00,1.94,0.00,0.00,0.87
Geleia de mocotó,Miscelâneas,100,106.00,24.20,2.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,0.75,0.00,0.00,0.12,42.70,2.01,0.00,0.00,0.00,0.00,0.19,0.00,0.00,-,0.22,0.00,0.00,0.00,0.00,0.00
Geleia de morango,Miscelâneas,100,249.00,63.00,0.32,0.29,3.23,0.00,0.07,0.01,0.06,0.00,0.00,0.00,6.36,5.45,0.00,5.45,0.17,27.30,49.10,0.00,0.03,0.00,0.00,0.00,0.02,0.03,-,0.02,0.00,1.82,0.00,0.00,0.82
Geleia de uva,Miscelâneas,100,253.00,64.20,0.30,0.23,3.37,0.00,0.06,0.01,0.05,0.00,0.00,0.00,6.48,5.55,0.00,5.55,0.18,27.80,50.00,0.00,0.03,0.00,0.00,0.00,0.02,0.03,-,0.02,0.00,1.85,0.00,0.00,0.83
Glicose (milho),Miscelâneas,100,317.00,79.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,5.67,1.90,0.00,4.78,0.05,0.00,5.06,0.00,0.00,0.00,0.00,0.01,0.01,0.02,-,0.01,0.00,0.00,0.00,0.00,0.00
Goma de mascar,Miscelâneas,100,383.00,97.00,0.00,0.00,2.40,0.00,0.04,0.08,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Guaraná em pó,Miscelâneas,100,376.00,71.60,16.50,2.76,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Hamburguer bovino (frito),Miscelâneas,100,258.00,6.32,20.00,17.00,0.00,48.90,5.90,6.00,3.70,0.30,0.05,0.44,62.40,59.70,0.52,324.00,3.02,1251.00,660.00,0.17,3.18,0.00,0.00,0.13,0.06,2.73,-,0.00,2.99,10.20,0.00,0.13,0.00
Hamburguer frango (cru),Miscelâneas,100,226.00,1.20,15.00,18.00,0.00,111.00,4.90,6.53,4.25,1.96,0.15,0.26,39.30,22.60,0.00,212.00,1.57,930.00,240.00,0.00,3.27,0.00,43.10,0.08,0.21,6.04,-,0.58,1.55,7.14,0.57,0.11,0.00
Hamburguer de soja (cru),Miscelâneas,100,73.00,7.33,6.77,3.42,6.89,2.71,0.78,0.97,1.10,0.30,0.05,0.00,69.50,28.60,0.49,105.00,1.23,600.00,170.00,0.10,0.64,11.50,0.45,1.35,0.12,1.92,-,0.15,1.00,63.40,0.00,12.50,2.30
Lasanha (ind.),Miscelâneas,100,132.00,13.70,5.77,6.39,1.50,22.10,3.05,2.28,0.56,0.27,0.06,0.25,82.90,18.80,0.00,108.00,0.67,351.00,184.00,0.00,0.82,0.00,53.20,0.07,0.08,1.44,-,0.11,0.39,33.90,0.00,1.36,2.35
Maçã do amor,Miscelâneas,100,113.00,28.10,0.30,0.42,1.76,0.00,0.17,0.00,0.00,-,-,0.00,12.90,17.10,0.32,19.80,0.39,2.43,381.00,0.05,0.02,0.09,0.00,0.02,0.00,0.00,-,0.01,0.00,2.95,0.00,0.45,1.65
Maionese,Miscelâneas,100,306.00,7.90,0.58,30.50,0.00,42.50,4.10,6.40,15.40,11.62,1.54,0.17,3.48,0.86,0.00,14.50,0.10,786.00,16.10,0.00,0.06,0.00,6.52,0.00,0.05,0.00,-,0.00,0.05,2.08,0.08,1.34,0.00
Maniçoba,Miscelâneas,100,127.00,3.40,9.96,8.70,2.16,42.80,2.89,3.68,1.67,1.95,0.21,0.04,66.00,23.70,0.60,54.90,3.22,406.00,147.00,0.16,2.03,0.00,111.00,0.04,0.07,2.58,-,0.05,0.00,0.00,0.00,0.00,0.00
Milk shake,Miscelâneas,100,112.00,21.80,2.84,5.86,3.49,9.13,1.29,0.59,0.08,0.16,0.09,0.00,97.00,14.30,0.05,76.20,0.09,75.30,141.00,0.06,0.47,2.98,38.90,0.03,0.19,0.75,-,0.02,0.31,4.56,0.01,0.05,0.36
Molho agridoce,Miscelâneas,100,132.00,32.20,0.40,0.40,0.90,0.00,0.00,0.00,0.00,-,-,0.00,8.41,6.73,0.00,5.88,0.18,311.00,83.20,0.00,0.08,0.00,20.00,0.04,0.02,0.16,-,0.04,0.00,6.73,0.00,0.20,7.31
Molho (alho),Miscelâneas,100,39.00,7.97,1.30,0.25,0.00,0.00,0.09,0.00,0.00,-,-,0.00,27.90,0.00,0.00,0.00,0.75,367.00,283.00,283.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.81
Molho barbecue,Miscelâneas,100,175.00,42.90,0.40,0.40,0.90,0.00,0.02,0.00,0.00,-,-,0.00,48.40,0.00,0.00,0.00,0.81,1278.00,254.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.43,0.21
Molho branco,Miscelâneas,100,155.00,12.20,4.06,10.10,0.19,29.70,6.10,2.68,0.28,-,-,0.22,119.00,12.80,0.04,99.00,0.40,70.50,154.00,0.04,0.49,5.82,130.00,0.06,0.25,1.65,-,0.00,0.40,0.00,1.31,0.13,0.00
Molho holandês,Miscelâneas,100,582.00,1.51,5.35,61.70,0.15,530.00,34.00,17.00,2.17,-,-,1.73,43.20,4.94,0.05,128.00,0.96,16.60,40.80,0.03,0.92,11.40,766.00,0.08,0.07,0.00,-,0.00,0.72,48.60,1.97,4.74,2.86
Molho inglês,Miscelâneas,100,77.00,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,107.00,13.00,0.00,60.00,5.30,980.00,800.00,0.20,0.19,0.50,5.00,0.07,0.13,0.70,-,0.00,0.00,8.00,0.00,0.08,13.00
Molho italiano,Miscelâneas,100,426.00,8.95,1.31,42.80,0.00,0.00,5.98,11.40,21.80,-,-,0.14,20.30,7.79,0.00,23.40,0.41,1547.00,130.00,0.00,0.11,0.00,4.05,0.03,0.00,0.20,-,0.10,0.00,0.00,0.00,4.44,0.62
Molho mostarda (caseiro),Miscelâneas,100,197.00,9.98,1.52,17.00,0.18,46.50,8.28,3.58,0.34,0.44,0.46,0.44,66.60,10.00,0.04,91.90,0.33,259.00,172.00,0.06,0.28,0.10,0.17,0.05,0.10,0.29,-,0.03,0.08,4.88,0.74,0.73,6.84
Molho mostarda,Miscelâneas,100,60.00,5.83,3.74,3.34,4.00,0.00,0.21,2.18,0.77,0.44,0.46,0.01,63.00,48.00,0.42,108.00,1.61,1104.00,152.00,0.07,0.64,33.50,0.00,0.18,0.07,0.56,-,0.07,0.00,7.00,0.00,0.36,0.30
Molho parmesão,Miscelâneas,100,543.00,6.91,3.68,56.00,1.40,122.00,25.30,16.10,10.90,-,-,0.00,435.00,21.30,0.00,371.00,0.50,1960.00,71.00,0.00,2.32,0.00,336.00,0.01,0.27,0.06,-,0.04,0.33,9.47,0.00,0.00,0.95
Molho pimenta,Miscelâneas,100,8.00,1.85,0.47,0.00,0.44,0.00,0.00,0.00,0.00,-,-,0.00,23.30,5.29,0.00,11.60,0.51,2795.00,152.00,0.00,0.12,0.00,0.11,0.04,0.09,0.27,-,0.17,0.00,6.35,0.00,0.00,79.10
Molho rosê,Miscelâneas,100,254.00,24.00,1.43,17.00,0.00,12.60,2.47,3.82,8.83,-,-,0.00,14.20,6.67,0.00,22.50,0.98,801.00,89.20,0.00,0.22,0.00,6.79,1.20,0.05,0.35,-,0.00,0.00,0.00,0.00,1.94,0.00
Molho soja,Miscelâneas,100,58.00,30.50,2.82,0.04,0.01,0.00,0.01,0.01,0.02,0.02,0.00,0.00,14.60,23.70,0.07,47.10,0.50,5032.00,165.00,0.00,0.19,0.00,0.00,0.83,0.06,2.10,-,0.15,0.00,4.12,0.00,0.00,0.00
Molho shoyu,Miscelâneas,100,59.00,29.50,3.47,0.24,1.75,0.00,0.03,0.04,0.11,0.02,0.00,0.00,14.50,23.60,0.06,47.00,0.50,5024.00,165.00,0.00,0.19,0.00,0.00,0.83,0.06,2.10,-,0.15,0.00,14.90,0.00,0.00,0.00
Molho teryaki,Miscelâneas,100,92.00,21.40,0.79,0.40,0.10,0.00,0.00,0.00,0.00,-,-,0.00,24.30,59.30,0.00,149.00,1.65,3723.00,218.00,0.00,0.10,0.00,0.00,0.03,0.07,1.23,-,0.10,0.00,7.77,0.00,0.00,0.00
Molho vinagrete,Miscelâneas,100,100.00,5.79,0.87,8.47,1.00,0.00,1.27,6.32,0.83,-,-,0.02,23.00,8.40,0.30,20.70,0.52,3.27,176.00,0.05,0.56,0.15,50.90,0.04,0.02,0.06,-,0.09,0.00,20.10,0.00,1.70,9.50
Mortadela,Miscelâneas,100,268.00,16.10,13.70,16.60,0.00,82.80,6.12,8.12,4.68,2.48,0.44,0.00,51.30,20.10,0.13,245.00,1.45,1354.00,245.00,0.12,2.18,0.00,0.00,0.14,0.06,3.00,-,0.00,1.89,6.23,0.54,0.00,0.83
Palmito (conserva),Miscelâneas,100,25.00,4.69,2.44,0.34,3.12,0.00,0.09,0.00,0.09,0.18,0.02,0.00,45.40,29.60,5.48,47.60,0.24,538.00,225.00,0.15,0.52,0.60,0.00,0.05,0.02,0.00,-,0.00,0.00,38.50,0.00,0.00,5.32
Patê,Miscelâneas,100,224.00,2.79,8.65,19.90,0.00,47.40,6.53,9.19,3.45,2.45,0.14,0.00,10.30,12.80,0.00,153.00,0.76,1378.00,192.00,0.00,1.41,0.00,0.00,0.56,0.15,2.69,-,0.19,0.97,1.28,0.90,2.23,0.00
Petit gateau,Miscelâneas,100,445.00,37.50,8.51,30.20,4.96,184.00,16.40,9.05,1.24,-,-,0.26,46.10,65.70,0.27,198.00,3.73,46.90,247.00,0.03,1.15,5.75,60.50,0.06,0.08,0.53,-,0.02,0.40,19.50,0.82,2.14,0.01
Picolé (ind.),Miscelâneas,100,80.00,19.70,0.00,0.24,0.00,0.00,0.20,0.04,0.20,0.02,0.00,0.00,5.00,3.00,0.00,2.00,0.30,13.00,23.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,1.20
Pizza,Miscelâneas,100,326.00,62.60,9.37,4.72,1.99,16.80,1.61,1.03,1.43,-,-,0.09,39.30,26.40,0.36,114.00,4.48,637.00,154.00,0.12,0.81,6.32,26.80,0.19,0.07,1.01,-,0.00,0.11,153.00,0.07,0.61,0.00
Presunto,Miscelâneas,100,126.00,1.50,16.50,6.00,0.00,35.00,1.72,2.29,0.88,1.62,0.16,0.01,13.20,18.00,0.04,289.00,0.72,1077.00,310.00,0.04,1.40,0.00,0.00,0.55,0.03,3.35,-,0.00,0.35,5.88,0.49,0.06,3.36
Purê de batata,Miscelâneas,100,68.00,11.60,1.67,1.97,1.27,2.23,0.79,0.46,0.57,-,-,0.00,22.50,6.60,0.06,36.60,0.19,14.20,223.00,0.05,0.24,1.03,8.78,0.05,0.04,0.26,-,0.07,0.06,4.62,0.00,0.06,3.18
Refrigerante,Miscelâneas,100,38.00,9.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.35,0.00,3.66,0.00,8.12,4.71,0.00,0.00,0.10,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal rosa,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,160.00,106.00,0.00,0.00,3.69,36800.00,280.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal dietético,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,0.00,23431.00,20467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal grosso,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,23.90,1.00,0.00,0.00,0.33,39943.00,5.99,0.00,0.10,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal refinado,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,23.90,1.00,0.10,0.00,0.33,39943.00,7.98,0.03,0.10,0.10,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Salame (porco),Miscelâneas,100,401.00,2.45,26.00,31.90,0.00,85.10,9.57,12.10,4.67,2.26,0.13,0.10,58.50,30.00,0.26,361.00,1.51,1919.00,545.00,0.18,6.53,770.00,1.01,0.88,0.23,12.50,-,0.00,0.12,0.00,0.91,0.65,0.00
Salgadinho (snack de trigo),Miscelâneas,100,477.00,66.80,7.70,20.70,3.40,1.00,9.08,7.80,2.60,4.72,0.59,0.16,41.00,24.00,0.95,198.00,1.12,609.00,156.00,0.14,0.81,17.40,0.00,0.18,0.04,0.40,-,0.04,0.00,29.00,0.00,4.13,6.00
Salada cozida,Miscelâneas,100,29.00,7.23,0.79,0.13,1.68,0.00,0.02,0.00,0.06,-,-,0.00,9.61,7.53,0.06,18.90,0.15,3.16,174.00,0.02,0.15,0.26,110.00,0.04,0.00,0.58,-,0.04,0.00,9.87,0.00,0.39,3.32
Salada crua,Miscelâneas,100,19.00,4.29,1.19,0.15,1.77,0.00,0.08,0.02,0.06,-,-,0.00,17.50,11.20,0.16,26.60,0.42,2.95,226.00,0.06,0.20,0.17,80.00,0.08,0.04,0.28,-,0.06,0.00,19.60,0.00,0.29,14.30
Salsicha,Miscelâneas,100,218.00,7.67,13.80,14.70,0.00,43.90,4.37,6.50,2.51,2.55,0.29,0.00,34.00,19.30,0.84,221.00,2.86,1194.00,190.00,0.26,2.75,6.00,0.00,0.05,0.14,0.11,-,0.15,1.41,5.38,0.51,0.11,0.00
Sanduíche vegetariano,Miscelâneas,100,127.00,19.80,5.20,3.73,2.93,8.73,1.94,0.98,0.39,-,-,0.07,58.90,27.70,0.60,87.40,1.28,215.00,180.00,0.08,0.68,1.97,52.50,0.06,0.06,0.17,-,0.07,0.04,45.80,0.05,0.95,25.20
Soja (bebida),Miscelâneas,100,55.00,9.67,1.76,1.16,0.12,0.00,0.20,0.30,0.60,-,-,0.01,16.50,15.50,0.15,52.90,0.43,56.50,121.00,0.08,0.28,0.45,0.00,0.00,0.00,0.00,-,0.00,0.00,60.30,0.00,0.00,0.00
Sorvete (ind.),Miscelâneas,100,209.00,26.60,3.50,10.10,0.93,35.70,6.26,3.09,0.43,0.27,0.17,0.00,120.00,14.00,0.08,100.00,0.21,60.00,188.00,0.04,0.34,1.90,110.00,0.05,0.26,0.17,-,0.05,0.30,12.00,0.20,0.30,7.70
Sushi,Miscelâneas,100,170.00,23.30,9.63,5.29,4.46,20.30,2.03,1.40,1.34,0.07,0.02,0.01,20.00,55.40,0.80,127.00,5.19,284.00,557.00,0.14,0.67,1.05,251.00,0.09,0.23,1.56,-,0.05,4.32,152.00,2.25,0.59,0.59
Tapioca,Miscelâneas,100,288.00,71.90,0.36,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,3.40,0.07,6.94,0.42,1.31,31.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Tomate (ind.),Miscelâneas,100,61.00,13.50,2.72,0.29,2.80,0.00,0.06,0.04,0.10,0.08,0.00,0.00,27.80,28.10,0.17,45.10,2.00,476.00,650.00,0.19,0.35,3.89,70.70,0.00,0.00,2.32,-,0.11,0.00,8.82,0.00,2.70,17.20
Tremoço (conserva),Miscelâneas,100,108.00,14.80,11.10,3.78,14.40,0.00,0.40,1.90,0.60,-,-,0.00,15.50,3.52,0.00,39.70,0.34,1808.00,5.20,0.27,0.64,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,65.90,0.00,0.00,0.00
Vinagre (arroz),Miscelâneas,100,47.00,11.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,2.00,6.00,0.00,15.00,0.10,12.00,16.00,0.00,0.20,0.00,0.00,0.01,0.01,0.30,-,0.02,0.10,0.00,0.00,0.00,0.00
Vinagre (balsâmico),Miscelâneas,100,92.70,22.70,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,27.00,12.00,0.13,19.00,0.72,23.00,112.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Vinagre (maçã),Miscelâneas,100,24.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,7.00,5.00,0.25,8.00,0.20,5.00,73.00,0.00,0.94,0.10,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Vinho,Miscelâneas,100,94.00,12.70,0.11,0.05,0.27,0.00,0.02,0.00,0.01,0.00,0.00,0.00,12.50,8.15,0.49,6.69,0.49,3.27,89.30,0.04,0.07,0.15,0.16,0.00,0.02,0.11,-,0.03,0.00,0.83,0.00,0.05,0.10
Xarope (frutas),Miscelâneas,100,260.00,65.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,1.00,0.00,0.00,0.03,0.00,1.00,0.01,0.06,0.40,0.00,0.01,0.01,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Xarope (maple),Miscelâneas,100,268.00,67.00,0.04,0.06,0.00,0.00,0.01,0.01,0.02,-,-,0.00,102.00,21.00,2.91,2.00,0.11,12.00,212.00,0.02,1.47,0.60,0.00,0.07,1.27,0.08,-,0.00,0.00,0.00,0.00,0.00,0.00
Yakisoba,Miscelâneas,100,122.00,18.30,7.52,2.61,1.06,14.90,0.58,0.87,0.99,15.35,1.98,0.01,13.90,13.30,0.15,83.00,0.62,793.00,158.00,0.06,0.68,9.84,31.00,0.16,0.00,2.09,-,0.00,0.00,0.00,0.00,0.40,0.00
